RX  IX
0.320312 1.539004
0.321289 1.521100
0.322266 1.503290
0.323242 1.485513
0.324219 1.467712
0.325195 1.449848
0.326172 1.431906
0.327148 1.413895
0.328125 1.395846
0.329102 1.377802
0.330078 1.359810
0.331055 1.341910
0.332031 1.324129
0.333008 1.306481
0.333984 1.288973
0.334961 1.271607
0.335938 1.254396
0.336914 1.237369
0.337891 1.220583
0.338867 1.204115
0.339844 1.188068
0.340820 1.172552
0.341797 1.157674
0.342773 1.143522
0.343750 1.130148
0.344727 1.117563
0.345703 1.105732
0.346680 1.094578
0.347656 1.083992
0.348633 1.073855
0.349609 1.064051
0.350586 1.054488
0.351562 1.045108
0.352539 1.035897
0.353516 1.026880
0.354492 1.018113
0.355469 1.009671
0.356445 1.001625
0.357422 0.994033
0.358398 0.986919
0.359375 0.980274
0.360352 0.974052
0.361328 0.968180
0.362305 0.962568
0.363281 0.957132
0.364258 0.951803
0.365234 0.946544
0.366211 0.941355
0.367188 0.936276
0.368164 0.931375
0.369141 0.926740
0.370117 0.922465
0.371094 0.918629
0.372070 0.915284
0.373047 0.912451
0.374023 0.910111
0.375000 0.908207
0.375977 0.906659
0.376953 0.905367
0.377930 0.904228
0.378906 0.903148
0.379883 0.902048
0.380859 0.900876
0.381836 0.899603
0.382812 0.898223
0.383789 0.896754
0.384766 0.895231
0.385742 0.893704
0.386719 0.892234
0.387695 0.890897
0.388672 0.889781
0.389648 0.888990
0.390625 0.888642
0.391602 0.888867
0.392578 0.889802
0.393555 0.891587
0.394531 0.894350
0.395508 0.898200
0.396484 0.903216
0.397461 0.909440
0.398438 0.916870
0.399414 0.925462
0.400391 0.935134
0.401367 0.945770
0.402344 0.957233
0.403320 0.969372
0.404297 0.982037
0.405273 0.995076
0.406250 1.008347
0.407227 1.021707
0.408203 1.035008
0.409180 1.048090
0.410156 1.060767
0.411133 1.072825
0.412109 1.084020
0.413086 1.094084
0.414062 1.102735
0.415039 1.109702
0.416016 1.114741
0.416992 1.117663
0.417969 1.118348
0.418945 1.116766
0.419922 1.112969
0.420898 1.107096
0.421875 1.099351
0.422852 1.089984
0.423828 1.079268
0.424805 1.067473
0.425781 1.054847
0.426758 1.041598
0.427734 1.027894
0.428711 1.013855
0.429688 0.999565
0.430664 0.985076
0.431641 0.970426
0.432617 0.955646
0.433594 0.940767
0.434570 0.925830
0.435547 0.910880
0.436523 0.895970
0.437500 0.881151
0.438477 0.866469
0.439453 0.851962
0.440430 0.837650
0.441406 0.823539
0.442383 0.809622
0.443359 0.795876
0.444336 0.782277
0.445312 0.768795
0.446289 0.755410
0.447266 0.742110
0.448242 0.728899
0.449219 0.715796
0.450195 0.702835
0.451172 0.690067
0.452148 0.677551
0.453125 0.665352
0.454102 0.653537
0.455078 0.642167
0.456055 0.631294
0.457031 0.620960
0.458008 0.611197
0.458984 0.602029
0.459961 0.593479
0.460938 0.585574
0.461914 0.578350
0.462891 0.571856
0.463867 0.566146
0.464844 0.561272
0.465820 0.557256
0.466797 0.554065
0.467773 0.551574
0.468750 0.549528
0.469727 0.547520
0.470703 0.544979
0.471680 0.541184
0.472656 0.535299
0.473633 0.526443
0.474609 0.513771
0.475586 0.496572
0.476562 0.474363
0.477539 0.446970
0.478516 0.414585
0.479492 0.377785
0.480469 0.337506
0.481445 0.294984
0.482422 0.251649
0.483398 0.209009
0.484375 0.168509
0.485352 0.131413
0.486328 0.098697
0.487305 0.070982
0.488281 0.048506
0.489258 0.031144
0.490234 0.018458
0.491211 0.009781
0.492188 0.004311
0.493164 0.001221
0.494141 0.000395
0.495117 0.000962
0.496094 0.001133
0.497070 0.001134
0.498047 0.001053
0.499023 0.000941
