RX	IX
0.311523 0.485370
0.312500 0.485781
0.313477 0.486326
0.314453 0.486792
0.315430 0.487115
0.316406 0.487503
0.317383 0.488037
0.318359 0.488512
0.319336 0.488832
0.320312 0.489197
0.321289 0.489717
0.322266 0.490201
0.323242 0.490520
0.324219 0.490862
0.325195 0.491367
0.326172 0.491858
0.327148 0.492179
0.328125 0.492500
0.329102 0.492987
0.330078 0.493483
0.331055 0.493809
0.332031 0.494109
0.333008 0.494576
0.333984 0.495077
0.334961 0.495408
0.335938 0.495689
0.336914 0.496134
0.337891 0.496638
0.338867 0.496977
0.339844 0.497240
0.340820 0.497661
0.341797 0.498166
0.342773 0.498514
0.343750 0.498762
0.344727 0.499158
0.345703 0.499662
0.346680 0.500019
0.347656 0.500255
0.348633 0.500625
0.349609 0.501124
0.350586 0.501493
0.351562 0.501718
0.352539 0.502061
0.353516 0.502554
0.354492 0.502935
0.355469 0.503152
0.356445 0.503466
0.357422 0.503950
0.358398 0.504343
0.359375 0.504555
0.360352 0.504842
0.361328 0.505314
0.362305 0.505719
0.363281 0.505928
0.364258 0.506186
0.365234 0.506643
0.366211 0.507060
0.367188 0.507270
0.368164 0.507501
0.369141 0.507940
0.370117 0.508368
0.371094 0.508580
0.372070 0.508785
0.373047 0.509203
0.374023 0.509641
0.375000 0.509860
0.375977 0.510039
0.376953 0.510433
0.377930 0.510879
0.378906 0.511107
0.379883 0.511262
0.380859 0.511630
0.381836 0.512083
0.382812 0.512321
0.383789 0.512455
0.384766 0.512794
0.385742 0.513251
0.386719 0.513503
0.387695 0.513617
0.388672 0.513925
0.389648 0.514383
0.390625 0.514651
0.391602 0.514749
0.392578 0.515024
0.393555 0.515480
0.394531 0.515765
0.395508 0.515850
0.396484 0.516090
0.397461 0.516541
0.398438 0.516845
0.399414 0.516919
0.400391 0.517123
0.401367 0.517566
0.402344 0.517890
0.403320 0.517958
0.404297 0.518125
0.405273 0.518555
0.406250 0.518900
0.407227 0.518965
0.408203 0.519094
0.409180 0.519508
0.410156 0.519874
0.411133 0.519941
0.412109 0.520032
0.413086 0.520425
0.414062 0.520812
0.415039 0.520885
0.416016 0.520938
0.416992 0.521306
0.417969 0.521713
0.418945 0.521796
0.419922 0.521812
0.420898 0.522151
0.421875 0.522577
0.422852 0.522675
0.423828 0.522656
0.424805 0.522960
0.425781 0.523403
0.426758 0.523521
0.427734 0.523468
0.428711 0.523733
0.429688 0.524192
0.430664 0.524333
0.431641 0.524250
0.432617 0.524471
0.433594 0.524942
0.434570 0.525112
0.435547 0.525001
0.436523 0.525173
0.437500 0.525653
0.438477 0.525857
0.439453 0.525722
0.440430 0.525841
0.441406 0.526325
0.442383 0.526568
0.443359 0.526413
0.444336 0.526473
0.445312 0.526957
0.446289 0.527244
0.447266 0.527074
0.448242 0.527071
0.449219 0.527549
0.450195 0.527884
0.451172 0.527705
0.452148 0.527634
0.453125 0.528100
0.454102 0.528489
0.455078 0.528308
0.456055 0.528163
0.457031 0.528609
0.458008 0.529057
0.458984 0.528883
0.459961 0.528658
0.460938 0.529075
0.461914 0.529590
0.462891 0.529432
0.463867 0.529119
0.464844 0.529497
0.465820 0.530085
0.466797 0.529954
0.467773 0.529546
0.468750 0.529874
0.469727 0.530544
0.470703 0.530454
0.471680 0.529941
0.472656 0.530200
0.473633 0.530965
0.474609 0.530935
0.475586 0.530302
0.476562 0.530473
0.477539 0.531347
0.478516 0.531403
0.479492 0.530632
0.480469 0.530683
0.481445 0.531690
0.482422 0.531866
0.483398 0.530931
0.484375 0.530821
0.485352 0.531989
0.486328 0.532340
0.487305 0.531213
0.488281 0.530873
0.489258 0.532216
0.490234 0.532819
0.491211 0.531551
0.492188 0.530915
0.493164 0.532107
0.494141 0.532910
0.495117 0.533279
0.496094 0.533200
0.497070 0.514671
0.498047 0.434647
0.499023 0.258088
